year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,9,24,13,21,0.4024,0.39733,23.82077,5,5
2017,9,24,13,25,0.5295,0.29017,31.10564,1,3
2017,9,26,13,11,0.31312,0.30282,12.03314,3,3
2017,9,27,13,55,0.287,0.22967,10.58731,0,1
2017,9,28,13,0,0.376,0.369,13.79192,1,1
2017,9,29,13,41,0.769,0.5535,24.28307,1,3
2017,9,30,12,46,,,,5,5
2017,10,1,13,30,0.259,0.2725,12.77792,3,5
2017,10,3,13,16,0.248,0.22243,9.30126,1,3
2017,10,4,14,0,0.195,0.217,10.1832,3,3
2017,10,5,13,5,0.214,0.1909,8.03837,1,3
2017,10,6,13,46,0.181,0.1888,10.00762,1,3
2017,10,7,12,51,0.13667,0.1285,5.16986,1,1
2017,10,8,13,35,0.12,0.173,4.53818,0,1
2017,10,9,12,40,0.206,0.361,7.76782,1,3
2017,10,10,13,21,,,,5,5
2017,10,10,13,25,0.45,0.45,15.53866,0,0
2017,10,12,13,11,0.184,0.17933,7.08819,1,1
2017,10,13,13,55,0.226,0.1955,8.51085,1,3
2017,10,14,13,0,0.26,0.26,16.68561,0,0
2017,10,15,13,41,0.471,0.60467,16.20201,1,3
2017,10,16,12,46,0.7425,0.68,51.82446,1,1
2017,10,17,13,30,0.506,0.506,17.176,0,0
2017,10,19,13,16,0.24,0.24,9.00309,0,0
2017,10,20,14,0,0.19667,0.186,7.8595,3,3
2017,10,21,13,5,0.254,0.238,10.85344,3,3
2017,10,22,13,46,0.272,0.33,10.74368,1,1
2017,10,23,12,51,0.23875,0.22233,12.01951,1,1
2017,10,24,13,35,0.309,0.309,11.29474,0,0
2017,10,25,12,40,0.432,0.35833,28.92179,0,1
2017,10,26,13,25,0.55,0.519,18.45403,0,1
2017,10,28,13,11,0.731,0.731,40.13996,3,3
2017,10,29,13,55,0.2855,0.29379,11.92294,1,3
2017,10,30,13,0,0.229,0.22175,11.37615,1,3
2017,10,31,13,41,0.3255,0.315,17.81419,5,5
2017,11,1,12,46,0.242,0.127,11.01893,0,1
2017,11,2,13,30,0.336,0.336,12.15716,0,0
2017,11,4,13,16,0.206,0.206,7.76526,0,0
2017,11,5,14,0,0.1162,0.116,6.18839,1,1
2017,11,6,13,5,0.107,0.107,4.06122,0,0
2017,11,7,13,46,0.1848,0.19275,9.66422,1,1
2017,11,8,12,51,0.193,0.193,10.31855,0,0
2017,11,9,13,35,0.11,0.0735,5.18106,1,1
2017,11,10,12,40,0.1045,0.1062,4.48429,1,1
2017,11,11,13,25,0.247,0.247,9.26486,0,0
2017,11,13,13,11,0.208,0.1965,8.04252,1,1
2017,11,14,13,55,0.216,0.172,12.68814,0,3
2017,11,15,13,0,0.1205,0.124,7.71784,3,3
2017,11,16,13,41,0.1505,0.194,9.37759,3,3
2017,11,17,12,46,0.069,0.069,2.62986,0,0
2017,11,18,13,30,0.128,0.128,4.83554,0,0
2017,11,20,13,16,0.183,0.183,6.88668,0,0
2017,11,21,14,0,0.14,0.14,5.28035,0,0
2017,11,22,13,5,0.21,0.21,7.93989,0,0
2017,11,23,13,46,0.175,0.175,6.61295,0,0
2017,11,24,12,51,0.379,0.31167,25.02847,0,1
2017,11,25,13,35,0.365,0.241,13.04258,0,1
2017,11,26,12,40,0.30933,0.299,20.18464,1,1
2017,11,27,13,25,0.33233,0.363,15.92417,1,1
2017,11,29,13,11,0.53175,0.51582,31.22108,1,3
2017,11,30,13,55,0.54575,0.535,19.35974,1,1
2017,12,1,13,0,0.633,0.563,43.64117,0,1
2017,12,2,13,41,0.188,0.188,7.10898,0,0
