year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2018,5,27,10,31,0.72833,0.692,23.166,1,1
2018,5,28,11,15,0.649,0.649,30.44276,0,0
2018,5,29,10,20,0.7588,0.75978,29.34495,5,5
2018,5,30,11,1,0.76733,0.77325,38.27887,3,3
2018,6,1,10,50,0.70129,0.70129,39.66759,3,3
2018,6,3,10,36,0.5545,0.3915,25.05803,1,3
2018,6,4,11,21,0.4995,0.604,33.86639,1,3
2018,6,5,10,26,0.3545,0.24,13.62527,3,3
2018,6,6,11,10,0.339,0.225,22.18704,0,1
2018,6,7,10,15,,,,5,5
2018,6,8,10,56,,,,5,5
2018,6,10,10,45,0.543,0.327,37.05354,0,1
2018,6,11,11,26,0.1535,0.1535,9.81981,1,1
2018,6,12,10,31,0.541,0.407,18.1978,0,3
2018,6,13,11,15,0.935,0.864,66.64353,1,3
2018,6,14,10,20,,,89.85383,5,5
2018,6,15,11,1,,,,5,5
2018,6,17,10,50,,,194.36185,5,5
2018,6,19,10,36,0.559,0.5848,38.19009,0,1
2018,6,19,10,40,0.381,0.381,25.225,0,0
2018,6,20,11,21,0.51133,0.565,34.73762,1,1
2018,6,21,10,26,0.61,0.411,35.4039,0,1
2018,6,22,11,10,0.859,0.859,60.72309,1,1
2018,6,23,10,15,,,,5,5
2018,6,24,10,56,,,,5,5
2018,6,26,10,45,,,,5,5
2018,6,27,11,26,,,,5,5
2018,6,28,10,31,,,,5,5
2018,6,29,11,15,,,,5,5
2018,6,30,10,20,,,,5,5
2018,7,1,11,1,,,,5,5
2018,7,3,10,50,,,,5,5
2018,7,5,10,36,0.47,,25.10581,3,5
2018,7,5,10,40,,,,5,5
2018,7,6,11,21,0.309,,20.10686,1,5
2018,7,7,10,26,,,,5,5
2018,7,8,11,10,,,,5,5
2018,7,9,10,15,,,,5,5
2018,7,10,10,56,,,,5,5
2018,7,12,10,45,,,,5,5
2018,7,13,11,26,,,,5,5
2018,7,14,10,31,0.432,0.447,28.85638,5,5
2018,7,15,11,15,0.321,0.26,20.90415,3,5
2018,7,16,10,20,,,,5,5
2018,7,17,11,1,,,,5,5
